carrier,chargeType,port,containerType,freeDays,dayFrom,dayTo,rate,currency,notes
CMA,demdet,Gdansk,20DRY,8,9,12,35,EUR,
CMA,demdet,Gdansk,20DRY,8,13,16,45,EUR,
CMA,demdet,Gdansk,20DRY,8,17,Infinity,90,EUR,
CMA,demdet,Gdansk,40DRY,8,9,12,55,EUR,
CMA,demdet,Gdansk,40DRY,8,13,16,80,EUR,
CMA,demdet,Gdansk,40DRY,8,17,Infinity,177,EUR,
CMA,demdet,Gdynia,20DRY,8,9,12,35,EUR,
CMA,demdet,Gdynia,20DRY,8,13,16,45,EUR,
CMA,demdet,Gdynia,20DRY,8,17,Infinity,90,EUR,
CMA,demdet,Gdynia,40DRY,8,9,12,55,EUR,
CMA,demdet,Gdynia,40DRY,8,13,16,80,EUR,
CMA,demdet,Gdynia,40DRY,8,17,Infinity,177,EUR,
CMA,storage,Gdansk,20DRY,7,8,14,7,EUR,
CMA,storage,Gdansk,20DRY,7,15,30,15,EUR,
CMA,storage,Gdansk,20DRY,7,31,60,25,EUR,
CMA,storage,Gdansk,20DRY,7,61,90,45,EUR,
CMA,storage,Gdansk,20DRY,7,91,Infinity,85,EUR,
CMA,storage,Gdansk,40DRY,7,8,14,14,EUR,
CMA,storage,Gdansk,40DRY,7,15,30,30,EUR,
CMA,storage,Gdansk,40DRY,7,31,60,50,EUR,
CMA,storage,Gdansk,40DRY,7,61,90,90,EUR,
CMA,storage,Gdansk,40DRY,7,91,Infinity,170,EUR,
COSCO,demdet,Gdansk,20DRY,12,13,17,45,EUR,
COSCO,demdet,Gdansk,20DRY,12,18,22,60,EUR,
COSCO,demdet,Gdansk,20DRY,12,23,Infinity,75,EUR,
COSCO,demdet,Gdansk,40DRY,12,13,17,90,EUR,
COSCO,demdet,Gdansk,40DRY,12,18,22,120,EUR,
COSCO,demdet,Gdansk,40DRY,12,23,Infinity,150,EUR,
COSCO,demdet,Gdynia,20DRY,12,13,17,45,EUR,
COSCO,demdet,Gdynia,20DRY,12,18,22,60,EUR,
COSCO,demdet,Gdynia,20DRY,12,23,Infinity,75,EUR,
COSCO,demdet,Gdynia,40DRY,12,13,17,90,EUR,
COSCO,demdet,Gdynia,40DRY,12,18,22,120,EUR,
COSCO,demdet,Gdynia,40DRY,12,23,Infinity,150,EUR,
COSCO,storage,Gdansk,20DRY,6,7,14,7,EUR,
COSCO,storage,Gdansk,20DRY,6,15,30,15,EUR,
COSCO,storage,Gdansk,20DRY,6,31,60,25,EUR,
COSCO,storage,Gdansk,20DRY,6,61,90,50,EUR,
COSCO,storage,Gdansk,20DRY,6,91,Infinity,60,EUR,
COSCO,storage,Gdansk,40DRY,6,7,14,14,EUR,
COSCO,storage,Gdansk,40DRY,6,15,30,30,EUR,
COSCO,storage,Gdansk,40DRY,6,31,60,50,EUR,
COSCO,storage,Gdansk,40DRY,6,61,90,100,EUR,
COSCO,storage,Gdansk,40DRY,6,91,Infinity,120,EUR,
COSCO,storage,Gdynia,20DRY,8,9,14,2.8,EUR,
COSCO,storage,Gdynia,20DRY,8,15,21,5.6,EUR,
COSCO,storage,Gdynia,20DRY,8,22,28,7.3,EUR,
COSCO,storage,Gdynia,20DRY,8,29,90,21.9,EUR,
COSCO,storage,Gdynia,20DRY,8,91,Infinity,43.9,EUR,
COSCO,storage,Gdynia,40DRY,8,8,14,5.4,EUR,
COSCO,storage,Gdynia,40DRY,8,15,21,11.2,EUR,
COSCO,storage,Gdynia,40DRY,8,22,28,14.6,EUR,
COSCO,storage,Gdynia,40DRY,8,29,90,43.8,EUR,
COSCO,storage,Gdynia,40DRY,8,91,Infinity,87.8,EUR,
